!Series_title,Molecular mechanisms underlying plasticity in a thermally varying environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_geo_accession,GSE150450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_status,Public on Apr 04 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_submission_date,May 13 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_last_update_date,Jul 04 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_pubmed_id,35397190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_summary,"To investigate the molecular basis of fluctuating temperature induced phenotypic plasticity, we ran genome-wide transcriptomic analysis on Drosophila melanogaster subjected to acclimation at constant (19 +/- 0 degree Celcius) and fluctuating (19 +/- 8 degree Celcius) temperatures and contrasted the induction of molecular mechanisms in adult males, adult females, and larvae. We investigated whether fluctuations act by permanently activating the involved mechanisms, or whether fluctuations repeatedly activate and repress mechanisms, during the hot (or heating) and the cold (or cooling) phase of thermal fluctuations. We show that adult flies acclimated to fluctuating temperatures tolerate high temperatures better than the constant temperature acclimated controls. Differential gene expression indicated that responses to thermal variability rely partly on life stage and sex specific mechanisms. Our results show that some of the involved mechanisms were permanently activated, while others tracked the thermal fluctuations. Further, for a number of genes, fluctuating temperature resulted in canalization of gene expression. Molecular mechanisms related to environmental sensing and chromatin reorganization seems to be important components of adaptive responses to thermal variability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_overall_design,"A total of 80 samples were analysed across different timepoints for males, females and larvae, which includes 4 biological replicates per timepoint and sex/lifestage combination. Half of these samples were subjected to fluctating temperature (treatment) and the other half to constant temperature (control).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_type,Expression profiling by high throughput sequencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contributor,"Paul,V,Salachan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contributor,"Jesper,G,SÃ¸rensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_sample_id,GSM4550709 GSM4550710 GSM4550711 GSM4550712 GSM4550713 GSM4550714 GSM4550715 GSM4550716 GSM4550717 GSM4550718 GSM4550719 GSM4550720 GSM4550721 GSM4550722 GSM4550723 GSM4550724 GSM4550725 GSM4550726 GSM4550727 GSM4550728 GSM4550729 GSM4550730 GSM4550731 GSM4550732 GSM4550733 GSM4550734 GSM4550735 GSM4550736 GSM4550737 GSM4550738 GSM4550739 GSM4550740 GSM4550741 GSM4550742 GSM4550743 GSM4550744 GSM4550745 GSM4550746 GSM4550747 GSM4550748 GSM4550749 GSM4550750 GSM4550751 GSM4550752 GSM4550753 GSM4550754 GSM4550755 GSM4550756 GSM4550757 GSM4550758 GSM4550759 GSM4550760 GSM4550761 GSM4550762 GSM4550763 GSM4550764 GSM4550765 GSM4550766 GSM4550767 GSM4550768 GSM4550769 GSM4550770 GSM4550771 GSM4550772 GSM4550773 GSM4550774 GSM4550775 GSM4550776 GSM4550777 GSM4550778 GSM4550779 GSM4550780 GSM4550781 GSM4550782 GSM4550783 GSM4550784 GSM4550785 GSM4550786 GSM4550787 GSM4550788 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_name,"Paul,Vinu,Salachan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_institute,Aarhus University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_address,BrendstrupgÃ¥rdsvej 21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_city,Aarhus N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_state,Aarhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_zip/postal_code,8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_contact_country,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_supplementary_file,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150450/suppl/GSE150450_gene_count_matrix.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_platform_id,GPL23702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_platform_taxid,7227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_sample_taxid,7227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_relation,BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA632473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Series_relation,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP261393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Sample_title,CAH1F,CAH1M,CAH2F,CAH2M,CAH3F,CAH3M,CAH4F,CAH4M,CAH5F,CAH5M,CAH6F,CAH6M,CAH7F,CAH7M,CAH8F,CAH8M,CAL1F,CAL1M,CAL2F,CAL2M,CAL3F,CAL3M,CAL4F,CAL4M,CAL5F,CAL5M,CAL6F,CAL6M,CAL7F,CAL7M,CAL8F,CAL8M,CLH1,CLH2,CLH3,CLH4,CLL1,CLL2,CLL3,CLL4,FAH1F,FAH1M,FAH2F,FAH2M,FAH3F,FAH3M,FAH4F,FAH4M,FAH5F,FAH5M,FAH6F,FAH6M,FAH7F,FAH7M,FAH8F,FAH8M,FAL1F,FAL1M,FAL2F,FAL2M,FAL3F,FAL3M,FAL4F,FAL4M,FAL5F,FAL5M,FAL6F,FAL6M,FAL7F,FAL7M,FAL8F,FAL8M,FLH1,FLH2,FLH3,FLH4,FLL1,FLL2,FLL3,FLL4
!Sample_geo_accession,GSM4550709,GSM4550710,GSM4550711,GSM4550712,GSM4550713,GSM4550714,GSM4550715,GSM4550716,GSM4550717,GSM4550718,GSM4550719,GSM4550720,GSM4550721,GSM4550722,GSM4550723,GSM4550724,GSM4550725,GSM4550726,GSM4550727,GSM4550728,GSM4550729,GSM4550730,GSM4550731,GSM4550732,GSM4550733,GSM4550734,GSM4550735,GSM4550736,GSM4550737,GSM4550738,GSM4550739,GSM4550740,GSM4550741,GSM4550742,GSM4550743,GSM4550744,GSM4550745,GSM4550746,GSM4550747,GSM4550748,GSM4550749,GSM4550750,GSM4550751,GSM4550752,GSM4550753,GSM4550754,GSM4550755,GSM4550756,GSM4550757,GSM4550758,GSM4550759,GSM4550760,GSM4550761,GSM4550762,GSM4550763,GSM4550764,GSM4550765,GSM4550766,GSM4550767,GSM4550768,GSM4550769,GSM4550770,GSM4550771,GSM4550772,GSM4550773,GSM4550774,GSM4550775,GSM4550776,GSM4550777,GSM4550778,GSM4550779,GSM4550780,GSM4550781,GSM4550782,GSM4550783,GSM4550784,GSM4550785,GSM4550786,GSM4550787,GSM4550788
!Sample_status,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022,Public on Apr 04 2022
!Sample_submission_date,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020,May 13 2020
!Sample_last_update_date,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022,Apr 04 2022
!Sample_type,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA
!Sample_channel_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
!Sample_source_name_ch1,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism,Whole organism
!Sample_organism_ch1,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster
!Sample_characteristics_ch1,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: control,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating,treatment: fluctuating
!Sample_characteristics_ch1,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: female,Sex: male,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown,Sex: unknown
